time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-04 00:00:00+00:00,12,3,7.0,3.0
2023-10-05 00:00:00+00:00,6,2,17.0,2.0
2023-10-06 00:00:00+00:00,2,2,4.0,1.0
2023-10-07 00:00:00+00:00,54,3,52.0,2.0
2023-10-08 00:00:00+00:00,1,1,16.0,2.0
2023-10-09 00:00:00+00:00,4,3,53.0,3.0
2023-10-10 00:00:00+00:00,1,1,,
2023-10-11 00:00:00+00:00,1,1,16.0,1.0
2023-10-12 00:00:00+00:00,1,1,3.0,2.0
2023-10-13 00:00:00+00:00,1,1,4.0,2.0
2023-10-14 00:00:00+00:00,1,1,353.0,3.0
2023-10-15 00:00:00+00:00,12,3,36.0,3.0
2023-10-16 00:00:00+00:00,8,4,17.0,3.0
2023-10-17 00:00:00+00:00,6,3,65.0,3.0
