time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-06 00:00:00+00:00,2.0,2.0,3.0,3.0
2023-09-07 00:00:00+00:00,1.0,1.0,,
2023-09-08 00:00:00+00:00,5.0,2.0,14.0,2.0
2023-09-09 00:00:00+00:00,6.0,2.0,32.0,2.0
2023-09-10 00:00:00+00:00,2.0,2.0,7.0,1.0
2023-09-11 00:00:00+00:00,4.0,3.0,10.0,1.0
2023-09-12 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-09-13 00:00:00+00:00,5.0,2.0,9.0,2.0
2023-09-14 00:00:00+00:00,19.0,4.0,47.0,5.0
2023-09-15 00:00:00+00:00,2.0,2.0,74.0,3.0
2023-09-16 00:00:00+00:00,4.0,2.0,18.0,4.0
2023-09-17 00:00:00+00:00,12.0,3.0,12.0,2.0
2023-09-18 00:00:00+00:00,5.0,5.0,59.0,3.0
2023-09-19 00:00:00+00:00,,,47.0,9.0
