time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-28 00:00:00+00:00,6.0,3.0,13.0,1.0
2023-07-29 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-07-30 00:00:00+00:00,2.0,2.0,,
2023-07-31 00:00:00+00:00,2.0,2.0,69.0,5.0
2023-08-01 00:00:00+00:00,1.0,1.0,10.0,5.0
2023-08-02 00:00:00+00:00,1.0,1.0,66.0,6.0
2023-08-03 00:00:00+00:00,1.0,1.0,21.0,2.0
2023-08-04 00:00:00+00:00,2.0,2.0,10.0,3.0
2023-08-05 00:00:00+00:00,2.0,2.0,,
2023-08-06 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-08-07 00:00:00+00:00,6.0,3.0,1.0,1.0
2023-08-08 00:00:00+00:00,2.0,2.0,12.0,7.0
2023-08-09 00:00:00+00:00,2.0,2.0,8.0,1.0
2023-08-10 00:00:00+00:00,,,21.0,2.0
