time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-05 00:00:00+00:00,11,6,5.0,2.0
2025-06-06 00:00:00+00:00,5,4,5.0,3.0
2025-06-07 00:00:00+00:00,5,3,,
2025-06-08 00:00:00+00:00,6,3,,
2025-06-09 00:00:00+00:00,1,1,1.0,1.0
2025-06-10 00:00:00+00:00,3,3,14.0,2.0
2025-06-11 00:00:00+00:00,5,5,5.0,3.0
2025-06-12 00:00:00+00:00,31,21,15.0,6.0
2025-06-13 00:00:00+00:00,16,11,1.0,1.0
2025-06-14 00:00:00+00:00,20,9,1.0,1.0
2025-06-15 00:00:00+00:00,1,1,5.0,2.0
2025-06-16 00:00:00+00:00,50,5,32.0,6.0
2025-06-17 00:00:00+00:00,19,3,,
2025-06-18 00:00:00+00:00,2,2,28.0,6.0
