time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,9,3,1,1
2025-12-28 00:00:00+00:00,7,4,2,2
2025-12-29 00:00:00+00:00,7,3,0,0
2025-12-30 00:00:00+00:00,13,7,2,2
2025-12-31 00:00:00+00:00,11,5,3,2
2026-01-01 00:00:00+00:00,33,16,0,0
2026-01-02 00:00:00+00:00,25,16,1,1
2026-01-03 00:00:00+00:00,28,16,2,2
2026-01-04 00:00:00+00:00,16,7,4,1
2026-01-05 00:00:00+00:00,40,17,6,5
2026-01-06 00:00:00+00:00,71,31,21,7
2026-01-07 00:00:00+00:00,237,8,4,4
2026-01-08 00:00:00+00:00,21,8,1,1
2026-01-09 00:00:00+00:00,2,2,23,6
