time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,12,6,2,2
2026-06-28 00:00:00+00:00,19,5,1,1
2026-06-29 00:00:00+00:00,28,11,1,1
2026-06-30 00:00:00+00:00,40,13,6,2
2026-07-01 00:00:00+00:00,34,13,4,2
2026-07-02 00:00:00+00:00,43,20,3,3
2026-07-03 00:00:00+00:00,20,11,14,3
2026-07-04 00:00:00+00:00,50,20,0,0
2026-07-05 00:00:00+00:00,18,9,3,2
2026-07-06 00:00:00+00:00,21,7,1,1
2026-07-07 00:00:00+00:00,14,5,7,4
2026-07-08 00:00:00+00:00,12,7,3,3
2026-07-09 00:00:00+00:00,14,6,4,3
2026-07-10 00:00:00+00:00,20,10,20,7
