time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-15 00:00:00+00:00,8,7,4.0,4.0
2025-12-16 00:00:00+00:00,32,20,44.0,8.0
2025-12-17 00:00:00+00:00,32,19,3.0,2.0
2025-12-18 00:00:00+00:00,12,8,10.0,4.0
2025-12-19 00:00:00+00:00,12,8,3.0,2.0
2025-12-20 00:00:00+00:00,8,7,4.0,3.0
2025-12-21 00:00:00+00:00,7,3,1.0,1.0
2025-12-22 00:00:00+00:00,25,17,,
2025-12-23 00:00:00+00:00,20,13,5.0,1.0
2025-12-24 00:00:00+00:00,17,6,3.0,3.0
2025-12-25 00:00:00+00:00,14,5,2.0,2.0
2025-12-26 00:00:00+00:00,6,3,1.0,1.0
2025-12-27 00:00:00+00:00,9,3,1.0,1.0
2025-12-28 00:00:00+00:00,3,2,1.0,1.0
